handle,school,bias_default,ic_30d,pval,n_obs,mean_signal,std_signal,long_signal_days,short_signal_days,hit_long_30d,hit_short_30d
gurgavin,content_creator,contrarian,-0.08134414444824178,0.01379179971838416,916,0.016279784093848424,0.08955978247551673,243,168,0.345679012345679,0.43452380952380953
laojiucai123,mixed,short_tilted,-0.08219682166051172,0.012826796839009348,916,-0.017752113566226507,0.06859129967878047,17,269,0.058823529411764705,0.49814126394052044
byzgeneral,derivatives,contrarian,-0.08245748389387127,0.012543948921429623,916,0.007077499157395245,0.017876804933852887,4,0,0.0,
EWaveMonitor,pure_TA,neutral,-0.08525243973071564,0.009840489667604044,916,0.006082545547611053,0.0844918607347314,172,4,0.3372093023255814,0.5
52kskew,derivatives,neutral,-0.08843485776686368,0.00740370434113585,916,0.0024889067300559982,0.03847000185016437,1,0,0.0,
NickTimiraos,macro,neutral,-0.08845812614528646,0.007388081540929793,916,0.04356629114527909,0.056572025053837655,142,0,0.29577464788732394,
krugermacro,macro,contrarian,-0.09044775208674796,0.00615656370875904,916,0.018679849004344478,0.06065213948228017,90,6,0.37777777777777777,0.3333333333333333
Steph_iscrypto,content_creator,long_tilted,-0.09298542648035327,0.004854839164523674,916,0.029250142169215277,0.048731807021511274,75,0,0.4,
Sheldon_Sniper,pure_TA,long_tilted,-0.09903963962320372,0.0026929722429742857,916,0.020309421651264346,0.04411067974992736,166,0,0.3373493975903614,
CryptoGodJohn,mixed,long_tilted,-0.10003871672609493,0.002435891187731405,916,0.017957960332071206,0.029824040656180197,8,2,0.125,0.0
MacroCRG,mixed,long_tilted,-0.10155733073051303,0.0020878312675523983,916,0.021829568206328486,0.026291630097011878,4,0,0.0,
qinbafrank,mixed,long_tilted,-0.10491350365443053,0.0014742673008944418,916,0.03538127537547324,0.03725701587974847,27,0,0.14814814814814814,
AltcoinSherpa,mixed,long_tilted,-0.10643649172193712,0.0012547975266077663,916,-0.010573006903858824,0.04908966836239707,10,17,0.0,0.6470588235294118
ColdBloodShill,mixed,long_tilted,-0.10893693010488162,0.0009587485260605619,916,0.012689830193768558,0.03213061345860819,4,0,0.25,
IncomeSharks,mixed,long_tilted,-0.10897106782575317,0.0009551958419927105,916,0.023183157090287353,0.04544110762442607,158,2,0.3291139240506329,0.5
GarethSoloway,mixed,contrarian,-0.11186930033379326,0.0006943306765031626,916,0.004356395602959136,0.051706017709880044,20,18,0.1,0.5
fundstrat,mixed,long_tilted,-0.12840539390905784,9.735587143908594e-05,916,0.04764436044722,0.052868148352778165,197,0,0.350253807106599,
CryptoCred,mixed,neutral,-0.13959500231662195,2.2360099471407507e-05,916,0.02223970887082351,0.03479241186837291,33,0,0.12121212121212122,
Engineercryptoo,mixed,long_tilted,-0.14784632486345148,7.014558103428262e-06,916,0.022976972943771663,0.04505361417233943,165,0,0.3393939393939394,
WClementeIII,macro,long_tilted,-0.16138616130022562,9.108479505058496e-07,916,0.030123884564268077,0.037817356006939015,50,0,0.24,
GugaOnChain,onchain,neutral,-0.16700992458353853,3.705835664317023e-07,916,0.0032473839907713707,0.010296724944933734,0,0,,
shufen46250836,mixed,long_tilted,-0.16784209318394064,3.235716784284509e-07,916,0.04683096610044563,0.049121449845268346,146,0,0.3493150684931507,
christiaandefi,mixed,long_tilted,-0.183877352921739,2.0777388550265004e-08,916,0.020826187723614203,0.0311266651715154,8,0,0.5,
